source,scope,rmse,mae,rfne,acc,bias,p99_abs_error_mean,p99_abs_error_max,max_abs_error,psnr_global,psnr_mean,ssim_mean,peak_ratio_mean,count
Interp,all,0.03730328121778187,0.010567902625068083,1.05308043187412,0.3016730998264924,-1.7772646380889666e-06,0.11150234298993557,0.2829527564346759,13.36616325378418,51.228083397390506,31.00361098624545,0.7384338517947626,0.8531893873435632,36000000
Interp,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
Interp,missing,0.04307411890548535,0.01409053683342411,1.2145449813027926,-0.045995120650651575,-2.3696861841186263e-06,0.13586977874225561,0.35288164243101855,13.36616325378418,49.71779602721906,29.43818144967789,nan,0.6478490413255887,27000000
Interp,active_missing,0.06074870640537843,0.02559092044564146,1.2081011119056189,-0.04732975981306514,-8.246589438780412e-06,0.4189764183443708,12.980421514511107,13.36616325378418,46.73138339048628,25.173038591593322,nan,0.6468718929597014,13411603
XYZ-joint ResShift,all,0.012611151865364992,0.0056092539767872394,0.3560157932294185,0.9351220840240762,0.0006398457987741055,0.04377671600807268,0.0997805008292196,7.236711502075195,60.64792897174794,39.16411472400982,0.8867950193017722,0.9738643407421701,36000000
XYZ-joint ResShift,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
XYZ-joint ResShift,missing,0.014562103848519458,0.007479005302382985,0.41060225016412577,0.9130034623130601,0.0008531277316988073,0.04877981527941155,0.11776776812970532,7.236711502075195,59.13764160157649,37.598685187442264,nan,0.9624603187387265,27000000
XYZ-joint ResShift,active_missing,0.019865891068222088,0.01193726045138687,0.39507022467872915,0.9192870558880092,0.0008372913828290885,0.12020629901295758,6.980404968261718,7.236711502075195,56.43996308385151,33.62009656277625,nan,0.9623737585822213,13411603
Single-Vz ResShift200ep,all,0.01582851819561034,0.006834867594456227,0.44684280398945186,0.8970836615916764,0.0004958513759144901,0.054185754878489784,0.12406182859092943,10.667669296264648,58.67421888689131,37.263105879273986,0.8563514642840953,0.9718955673385398,36000000
Single-Vz ResShift200ep,observed,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999999968758,9000000
Single-Vz ResShift200ep,missing,0.01827719848221704,0.009113156792608303,0.5153553979260809,0.8616535318636157,0.0006611351678859869,0.060523222989022615,0.14717034437693555,10.667669296264648,57.16393151671986,35.69767634270642,nan,0.9573243483033239,27000000
Single-Vz ResShift200ep,active_missing,0.024885156389098363,0.014107311007776126,0.49488765905562115,0.8716846567019986,0.0006926977200553412,0.15876619119952273,9.813539133071895,10.667669296264648,54.48331659119641,31.772754771725072,nan,0.9572065361007367,13411603
